Date,Close_itx,Close_bbva,Close_acs,Close_san,Close_ibex
2011-01-27,11.2,9.08,36.7477,8.46432,10828.700195
2011-01-28,10.986,8.894,36.490688,8.366292,10747.0
2011-01-31,11.038,8.967,37.266666,8.436043,10806.0
2011-02-01,11.034,9.307,37.503906,8.608534,10967.900391
2011-02-02,10.992,9.294,36.915749,8.618902,11010.200195
2011-02-03,10.938,9.027,33.391724,8.473746,10860.700195
2011-02-04,10.89,8.928,34.538391,8.406823,10854.700195
2011-02-07,10.894,9.03,34.459309,8.437928,10922.599609
2011-02-08,11.2,9.05,33.401608,8.495425,10965.099609
2011-02-09,11.298,9.011,32.768967,8.463377,10935.599609
2011-02-10,11.008,8.826,32.620689,8.246585,10791.900391
2011-02-11,10.726,8.935,32.353794,8.33236,10803.599609
2011-02-14,10.834,8.85,32.511955,8.256954,10774.700195
2011-02-15,10.782,8.968,32.620689,8.379488,10826.200195
2011-02-16,10.874,9.332,33.184135,8.694308,11047.799805
2011-02-17,10.958,9.429,33.451035,8.781968,11113.0
2011-02-18,10.898,9.329,33.38184,8.730126,11068.099609
2011-02-21,10.764,9.05,32.640457,8.442641,10810.5
2011-02-22,10.716,8.908,32.027588,8.352154,10701.900391
2011-02-23,10.652,8.833,32.05724,8.313508,10633.400391
2011-02-24,10.63,8.759,32.264828,8.24093,10647.599609
2011-02-25,10.654,8.969,32.857929,8.424732,10822.700195
2011-02-28,10.492,8.946,32.862873,8.421904,10850.799805
2011-03-01,10.474,8.822,32.823334,8.275805,10761.900391
2011-03-02,10.368,8.723,32.492184,8.143845,10643.799805
2011-03-03,10.388,8.601,32.343906,8.009056,10566.900391
2011-03-04,10.454,8.499,32.437817,7.861072,10498.700195
2011-03-07,10.66,8.384,32.185745,7.766815,10495.700195
2011-03-08,10.522,8.479,32.175861,7.83468,10568.700195
2011-03-09,10.452,8.556,32.081955,7.803575,10559.5
2011-03-10,10.6,8.408,31.869425,7.697064,10435.599609
2011-03-11,10.534,8.52,31.735977,7.629199,10398.400391
2011-03-14,10.448,8.812,31.533333,7.80546,10415.900391
2011-03-15,10.38,8.89,31.068735,7.823369,10329.700195
2011-03-16,10.25,8.536,30.441034,7.569817,10092.599609
2011-03-17,10.316,8.665,30.767241,7.815829,10325.599609
2011-03-18,10.53,8.58,30.930344,7.818656,10328.400391
2011-03-21,10.678,8.85,31.562988,8.043932,10574.400391
2011-03-22,10.8,8.94,31.305977,8.011884,10576.099609
2011-03-23,11.45,8.95,31.70138,8.000573,10638.0
2011-03-24,11.546,9.059,32.131378,8.109912,10755.599609
2011-03-25,11.356,8.947,32.432873,8.034506,10710.400391
2011-03-28,11.36,8.985,32.432873,8.061841,10751.0
2011-03-29,11.508,8.85,32.551495,7.960043,10735.0
2011-03-30,11.418,8.82,32.734367,7.911029,10732.299805
2011-03-31,11.324,8.561,32.699772,7.721571,10576.5
2011-04-01,11.514,8.624,32.932068,7.927052,10729.900391
2011-04-04,11.71,8.62,32.867817,7.871441,10756.099609
2011-04-05,11.764,8.526,32.615746,7.759274,10678.599609
2011-04-06,11.904,8.797,33.100113,7.932708,10845.099609
2011-04-07,11.75,8.821,32.670113,8.068439,10849.099609
2011-04-08,11.77,8.79,32.897472,8.163639,10913.200195
2011-04-11,11.728,8.798,32.373562,8.124993,10878.299805
2011-04-12,11.79,8.713,32.077011,8.039219,10784.5
2011-04-13,11.758,8.666,32.225288,8.011884,10786.0
2011-04-14,11.682,8.439,32.101715,7.828082,10622.700195
2011-04-15,11.858,8.311,31.740919,7.789437,10558.599609
2011-04-18,11.632,8.07,31.202183,7.586783,10344.900391
2011-04-19,11.74,8.127,31.147816,7.632969,10376.5
2011-04-20,11.908,8.276,31.671724,7.711203,10535.400391
2011-04-21,11.928,8.386,32.329079,7.766815,10584.099609
2011-04-26,12.016,8.414,32.556435,7.86767,10650.599609
2011-04-27,11.94,8.528,32.991379,7.98832,10740.900391
2011-04-28,12.078,8.656,33.490574,8.107084,10867.799805
2011-04-29,12.108,8.66,33.574596,8.126878,10878.900391
2011-05-02,12.042,8.714,33.841496,7.891235,10877.299805
2011-05-03,12.048,8.662,33.609196,7.904431,10825.599609
2011-05-04,12.188,8.555,33.520229,7.806403,10712.599609
2011-05-05,12.2,8.426,32.867817,7.729112,10627.299805
2011-05-06,12.34,8.439,32.937012,7.80546,10610.5
2011-05-09,12.006,8.185,32.516895,7.587726,10396.299805
2011-05-10,12.056,8.246,32.620689,7.707433,10474.400391
2011-05-11,12.336,8.276,33.362068,7.71026,10531.5
2011-05-12,12.282,8.2,32.783794,7.70272,10487.599609
2011-05-13,12.34,8.042,32.289539,7.553793,10356.5
2011-05-16,12.4,8.094,32.348839,7.601864,10363.900391
2011-05-17,12.348,8.061,31.553102,7.544367,10306.400391
2011-05-18,12.336,8.132,32.165977,7.606577,10343.700195
2011-05-19,12.518,8.092,32.225288,7.595266,10376.799805
2011-05-20,12.22,7.939,31.681608,7.451052,10226.599609
2011-05-23,12.176,7.746,31.56793,7.32569,10082.700195
2011-05-24,12.12,7.745,31.815058,7.369048,10115.900391
2011-05-25,12.45,7.823,31.859541,7.492526,10217.400391
2011-05-26,12.538,7.837,31.82,7.447282,10203.200195
2011-05-27,12.52,7.88,32.101715,7.530229,10261.200195
2011-05-30,12.57,7.867,32.121494,7.488755,10257.599609
2011-05-31,12.634,8.115,32.986435,7.789437,10476.0
2011-06-01,12.508,7.956,32.314251,7.629199,10339.299805
2011-06-02,12.338,7.925,32.472412,7.565104,10261.0
2011-06-03,12.426,8.033,32.437817,7.620716,10285.700195
2011-06-06,12.33,7.818,31.849655,7.491583,10157.700195
2011-06-07,12.306,7.83,31.70138,7.51232,10168.099609
2011-06-08,12.15,7.743,31.305977,7.409579,10082.5
