Date,Close_bbva,Close_bankinter,Close_sabadell,Close_santander,Close_ibex
2011-05-05,8.426,1.561306,1.815391,7.729112,10627.299805
2011-05-06,8.439,1.568407,1.828677,7.80546,10610.5
2011-05-09,8.185,1.527669,1.780363,7.587726,10396.299805
2011-05-10,8.246,1.541247,1.785799,7.707433,10474.400391
2011-05-11,8.276,1.540937,1.791838,7.71026,10531.5
2011-05-12,8.2,1.563778,1.797273,7.70272,10487.599609
2011-05-13,8.042,1.536308,1.764057,7.553793,10356.5
2011-05-16,8.094,1.536308,1.774324,7.601864,10363.900391
2011-05-17,8.061,1.499584,1.774324,7.544367,10306.400391
2011-05-18,8.132,1.467794,1.766473,7.606577,10343.700195
2011-05-19,8.092,1.425515,1.75983,7.595266,10376.799805
2011-05-20,7.939,1.395271,1.740504,7.451052,10226.599609
2011-05-23,7.746,1.357311,1.709704,7.32569,10082.700195
2011-05-24,7.745,1.353298,1.701249,7.369048,10115.900391
2011-05-25,7.823,1.378911,1.760434,7.492526,10217.400391
2011-05-26,7.837,1.428908,1.770097,7.447282,10203.200195
2011-05-27,7.88,1.455452,1.777948,7.530229,10261.200195
2011-05-30,7.867,1.433847,1.775532,7.488755,10257.599609
2011-05-31,8.115,1.466868,1.801501,7.789437,10476.0
2011-06-01,7.956,1.444342,1.77674,7.629199,10339.299805
2011-06-02,7.925,1.406997,1.75983,7.565104,10261.0
2011-06-03,8.033,1.423663,1.774324,7.620716,10285.700195
2011-06-06,7.818,1.397739,1.751375,7.491583,10157.700195
2011-06-07,7.83,1.391874,1.748355,7.51232,10168.099609
2011-06-08,7.743,1.359779,1.726614,7.409579,10082.5
2011-06-09,7.75,1.386318,1.721783,7.419005,10121.700195
2011-06-10,7.565,1.367496,1.694002,7.254997,9950.799805
2011-06-13,7.555,1.367185,1.719367,7.229547,9946.200195
2011-06-14,7.732,1.410391,1.739297,7.407694,10132.599609
2011-06-15,7.5,1.376754,1.730238,7.182418,9933.099609
2011-06-16,7.525,1.364098,1.728426,7.184304,9918.5
2011-06-17,7.942,1.423973,1.772512,7.493468,10135.200195
2011-06-20,7.831,1.410391,1.739297,7.413349,10038.099609
2011-06-21,8.037,1.438167,1.766473,7.564161,10231.900391
2011-06-22,8.003,1.440944,1.764057,7.540597,10226.200195
2011-06-23,7.566,1.390948,1.719367,7.179591,9942.599609
2011-06-24,7.485,1.346817,1.689171,7.077793,9812.700195
2011-06-27,7.599,1.372741,1.683736,7.115496,9872.200195
2011-06-28,7.72,1.37737,1.686151,7.193729,9936.700195
2011-06-29,7.895,1.410391,1.690379,7.347369,10143.599609
2011-06-30,8.09,1.445268,1.721179,7.505722,10359.900391
2011-07-01,8.342,1.490635,1.784591,7.703662,10492.0
